24745.1 5.98568
24745.2 3.69369
24745.3 9.66689
24745.4 3.83383
24745.7 5.55067
24745.8 4.25249
24745.9 6.58406
24746.1 3.31932
24746.3 74.1181
24746.5 8.12275
24746.7 9.87119
24746.9 6.98494
24747.4 5.66542
24748.2 1.32557
24748.6 3.77218
24749.3 164.33
24750.8 3.85194
24751 2.13645
24751.1 5.62296
24751.3 233.017
24751.6 3.35095
24751.7 147.458
24751.9 30.7422
24752.1 4.48275
24752.2 221.578
24752.3 22.3006
24752.4 8.4408
24752.6 7.52884
24752.8 6.73339
24752.8 13.7756
24752.9 6.96368
24753 9.96211
24753.5 198.25
24754.8 2.4078
24755 36.449
24755.9 36.3872
24755.9 1.1321
24756.7 57.7767
24756.8 70.2133
24756.8 25.2185
24756.8 353.867
24756.9 51.9966
24757 247.771
24757.1 36.3872
24757.1 42.0373
24757.2 52.9873
24757.4 9.21897
24757.6 8.57573
24757.8 27.2279
24757.8 7.08188
24757.9 12.2939
24757.9 9.50766
24758.1 34.5499
24758.2 7.25057
24758.2 26.6767
24758.4 4.61826
24758.5 57.4218
24758.6 1652.49
24758.8 65.6195
24758.8 85.932
24759 6.64519
24759 76.6971
24759.8 31.1015
24759.9 13.6295
24759.9 3.93824
24760.2 2.2323
24760.5 4.46882
24760.6 7.85616
24761.9 3.74257
24762.3 36.218
24762.5 9.19479
24762.5 3.49896
24762.5 49.9682
24762.6 10.7002
24762.7 6.82807
24762.8 23.3544
24762.9 12.0921
24763.1 4.34452
24763.2 6.31383
24763.3 3.5957
24763.5 1.0914
24763.5 2.79436
24763.5 2.67197
24763.7 231.551
24763.7 4.64721
24764.2 102.055
24764.3 228.449
24764.5 16.7019
24765.7 92.9606
24767.1 45.9505
24767.2 3.35774
24767.8 6.52357
24767.9 424.168
24768.2 207.495
24768.2 288.478
24768.4 296.133
24768.6 307.972
24768.9 3.01071
24769.1 3.94368
24769.2 4.29113
24769.3 4.2907
24769.3 29.192
24769.7 2.12452
24769.8 27.2244
24770.2 1518.4
24770.4 7.4248
24770.5 11.4951
24770.8 1516
24771.2 1433.15
24771.5 1462.33
24773.5 1408.14
24774.2 1557.96
